StudyName,ValMethod,Validation,MobileEstimate,MobilePlatform
1,tracer,1.303818927,1.580981597,PIC
1,tracer,21.61133261,4.263871805,PIC
1,tracer,0.689261742,2.219869423,PIC
1,tracer,11.53792165,2.514637678,PIC
1,tracer,0.682301432,2.722715202,PIC
1,tracer,0.733469714,1.406314822,PIC
1,tracer,1.242575716,2.76263496,PIC
1,tracer,4.481652533,4.891175738,PIC
1,tracer,0.771793424,4.76980899,PIC
1,tracer,0.281480145,9.978549957,PIC
1,tracer,16.75097217,19.62713906,LGR
1,tracer,0.51864978,6.242104714,LGR
1,tracer,3.501030297,2.234498219,LGR
1,tracer,3.331385564,10.6479165,LGR
1,tracer,9.622870044,28.75615024,LGR
1,tracer,1.707460903,3.806046699,PIC
1,tracer,2.22107957,4.020206395,PIC
1,tracer,2.977845677,4.630271808,PIC
1,tracer,1.845181826,2.061358421,PIC
1,tracer,1.855278634,1.871621462,PIC
1,tracer,0.384318436,1.322456121,PIC
1,tracer,0.79560793,1.460019836,PIC
1,tracer,0.594079846,1.769322562,PIC
1,tracer,0.816204846,2.252584866,LGR
1,tracer,5.75640804,9.03877134,LGR
1,tracer,0.373276746,3.523892067,PIC
1,tracer,0.129437004,1.998144952,LGR
1,tracer,0.147211536,1.486730849,LGR
1,tracer,1.628801762,4.912276818,LGR
1,tracer,21.8790033,16.6897585,LGR
1,tracer,6.785248584,39.03088679,LGR
1,tracer,2.11325279,3.224181014,LGR
1,tracer,7.409842752,5.386254492,LGR
1,tracer,0.280886069,2.893555819,LGR
1,tracer,0.638603937,6.903229128,LGR
1,tracer,0.651120405,1.63832314,LGR
1,tracer,0.960450765,2.005463841,LGR
1,tracer,3.834104311,4.173974919,LGR
1,tracer,4.442687946,4.993045594,LGR
1,tracer,0.384711734,2.599211534,LGR
1,tracer,0.37560988,2.09015707,LGR
1,tracer,10.33005231,5.952753431,LGR
1,tracer,0.320090938,1.501731158,LGR
1,tracer,0.616185866,6.315029968,LGR
1,tracer,1.89046153,1.889415481,LGR
1,tracer,0.70678897,3.582067005,LGR
1,tracer,0.470654435,1.842440621,LGR
1,tracer,1.315728808,3.703656465,LGR
1,tracer,3.476360425,4.499646943,LGR
2,metered,7.079211659,53.37725591,LIC
2,enclosure,0.080231065,4.672279695,LIC
2,enclosure,0.009438949,31.9980367,LIC
2,enclosure,0.014158423,0.377557955,LIC
2,enclosure,1.831156082,3.020463641,LIC
2,metered,2.35973722,1.321452843,LIC
2,metered,7.079211659,27.18417277,LIC
2,enclosure,0.141584233,9.108585668,LIC
2,enclosure,0.320924262,2.123763498,LIC
2,enclosure,11.90723401,16.28218682,LIC
2,enclosure,28.54338141,81.50532357,LIC
2,metered,2.35973722,5.04983765,LIC
2,metered,7.079211659,8.636638224,LIC
2,metered,7.079211659,14.30000755,LIC
2,enclosure,0.226534773,0.991089632,LIC
2,enclosure,0.014158423,0.094389489,LIC
2,enclosure,0.089670014,0.707921166,LIC
2,metered,2.35973722,9.297364645,LIC
2,metered,7.079211659,16.99010798,LIC
3,enclosure,4.987068632,6.248085663,PIC
3,enclosure,0.572944196,2.656367274,PIC
3,enclosure,0.000471947,2.304240613,PIC
3,enclosure,0.679604318,3.280231789,PIC
3,enclosure,0.008023107,1.226561697,PIC
3,enclosure,1.190251452,2.879952889,PIC
3,enclosure,0.464868232,5.664279696,PIC
3,enclosure,0.193970399,2.774412075,PIC
3,enclosure,0.154798761,2.896244552,PIC
3,enclosure,0.095805331,5.088638169,PIC
3,enclosure,0.046250849,0.871528728,PIC
3,enclosure,0.331779053,3.052446757,PIC
3,enclosure,0.056161746,0.823114177,PIC
3,tracer,4.719474432,3.538662302,PIC
3,enclosure,0.235029827,1.990126765,PIC
3,enclosure,0.176508344,1.276620201,PIC
3,tracer,1.581023935,1.469567783,PIC
3,enclosure,0.396435852,1.507085694,PIC
3,tracer,2.123763494,6.103514366,PIC
3,tracer,1.014687003,1.433701206,PIC
3,enclosure,0.061825115,2.475531995,PIC
3,tracer,1.604621307,3.196968269,PIC
3,tracer,0.66072642,2.050246295,PIC
3,tracer,3.586800568,3.944810507,PIC
3,enclosure,1.983123156,4.930833466,PIC
3,enclosure,0.025013214,0.883757226,PIC
3,enclosure,0.582383145,3.12660178,PIC
3,enclosure,0.000471947,1.024236509,PIC
3,tracer,7.881522301,14.19956754,PIC
3,tracer,5.946537784,4.563689997,PIC
3,enclosure,1.49324171,2.454080877,PIC
3,enclosure,1.051026956,1.497041881,PIC